İl Adı,İl Kodu,3-9 Tem 2021,10-16 Tem 2021,17-23 Tem 2021,24-30 Tem 2021,31 Tem-6 Ağu 2021,7-13 Ağu 2021,14-20 Ağu 2021,21-27 Ağu 2021,28 Ağu-3 Eyl 2021,4-10 Eyl 2021,11-17 Eyl 2021,18-24 Eyl 2021,25 Eyl-1 Eki 2021,2-8 Eki 2021,9-15 Eki 2021,16-22 Eki 2021,23-29 Eki 2021,30 Eki-5 Kas 2021
Kilis,79,5.60,8.32,33.62,93.84,122.83,129.56,151.27,210.80,258.42,366.97,309.54,290.63,245.81,268.22,380.97,317.94,227.60,234.61
Kocaeli,41,34.00,47.83,59.57,131.98,159.95,146.90,132.68,137.44,163.97,181.10,260.91,339.06,374.86,413.92,428.44,456.88,447.26,481.71
Konya,42,40.18,56.98,103.80,268.58,363.31,415.51,355.60,363.42,402.84,391.15,352.57,300.13,254.49,235.29,228.62,173.95,127.33,122.89
Kütahya,43,70.23,61.63,74.50,108.55,138.67,157.28,157.80,185.37,226.29,272.59,337.44,419.46,435.24,397.44,403.16,315.94,239.64,230.97
Malatya,44,32.00,27.51,45.68,89.56,147.12,176.14,148.23,181.11,268.31,365.44,485.64,465.42,360.35,362.58,321.90,208.77,160.39,149.35
Manisa,45,18.54,16.93,20.66,47.84,75.57,114.99,117.47,68.32,69.69,70.52,137.46,176.34,205.29,219.22,228.25,226.94,211.29,221.35
Mardin,47,45.40,51.66,79.71,263.71,430.81,466.00,352.16,287.58,241.25,190.94,138.76,100.03,76.40,75.35,58.26,50.54,30.54,28.08
Mersin,33,41.20,61.88,109.65,233.58,292.35,350.18,176.75,69.24,69.83,69.62,68.92,75.40,138.86,143.68,181.30,180.33,181.30,194.78
Muğla,48,16.69,33.44,55.71,48.66,57.26,45.46,40.17,39.07,40.27,39.47,43.17,47.26,40.07,47.06,44.87,47.16,50.86,59.45
Muş,49,40.62,47.20,69.92,225.24,351.96,380.91,305.02,292.13,299.67,279.73,234.97,224.75,195.32,179.27,124.78,76.86,38.43,30.65
Nevşehir,50,36.73,31.81,48.53,77.71,121.53,157.40,172.81,239.05,268.87,275.12,300.69,326.93,257.08,260.69,212.49,178.38,162.97,159.04
Niğde,51,37.56,39.37,55.10,120.97,194.34,202.72,201.62,226.20,262.10,306.02,327.84,378.38,292.48,234.76,226.47,240.01,192.78,202.17
Ordu,52,50.17,50.32,87.87,220.25,306.18,240.08,170.08,158.92,166.40,176.91,236.41,289.99,330.97,459.68,499.61,431.31,468.35,487.92
Osmaniye,80,6.56,17.51,19.87,62.71,116.09,130.16,118.13,128.34,151.67,184.67,166.62,152.58,150.94,172.45,246.83,269.80,336.34,417.28
Rize,53,59.82,76.76,94.77,243.64,503.27,575.56,538.10,614.18,653.10,488.15,476.25,503.25,399.29,392.61,296.20,217.22,216.63,239.29
Sakarya,54,55.92,69.22,99.10,204.10,233.30,261.93,242.75,240.83,244.19,225.00,307.58,354.29,449.53,448.76,476.67,406.75,368.48,381.05
Samsun,55,23.97,30.66,47.22,112.90,176.99,171.16,160.54,169.16,177.57,211.71,271.22,287.52,338.33,413.18,421.80,334.86,311.12,339.58
Siirt,56,231.67,471.57,748.39,1139.94,974.40,543.39,241.64,161.30,117.80,84.27,74.91,53.46,43.50,48.33,40.17,33.53,35.34,29.90
Sinop,57,29.57,27.44,58.21,144.14,161.09,119.19,132.59,149.68,201.42,249.01,273.49,237.92,218.52,239.77,277.65,289.66,255.94,358.03
Sivas,58,66.99,60.56,69.98,160.56,254.48,286.53,249.10,280.87,313.58,349.12,394.72,378.53,288.89,269.07,253.19,235.26,190.13,190.28
Şanlıurfa,63,20.99,30.80,58.76,165.37,231.18,293.77,271.69,270.27,270.56,220.35,165.80,125.19,110.10,117.57,118.28,104.86,77.77,72.71
Şırnak,73,27.15,30.56,47.18,117.15,146.96,144.30,102.46,98.37,86.84,75.87,54.11,63.22,51.88,39.42,34.03,20.64,12.83,11.34
Tekirdağ,59,27.75,20.88,27.25,67.90,93.96,84.82,80.85,85.75,105.91,114.70,142.54,140.14,141.06,156.42,190.65,219.69,250.03,281.85
Tokat,60,56.03,54.81,62.80,105.54,176.02,151.87,126.28,165.59,189.68,237.51,377.85,365.30,386.04,459.81,452.61,402.43,384.37,433.04
Trabzon,61,49.88,56.33,108.11,241.78,328.03,330.58,310.63,366.67,392.91,400.54,538.61,509.67,436.75,462.37,412.86,321.47,299.54,334.89
Tunceli,62,10.79,20.17,27.56,127.03,196.43,123.44,113.85,99.47,153.40,173.77,149.80,119.84,119.84,121.04,214.52,286.42,285.22,342.75
Uşak,64,20.84,13.40,17.59,49.26,82.80,99.88,108.54,81.48,91.49,97.72,161.60,213.03,315.62,289.36,318.05,267.17,188.13,193.27
Van,65,100.41,120.68,126.03,266.07,278.14,198.72,111.46,86.22,66.12,57.34,46.81,41.50,35.76,33.41,34.45,36.89,27.32,27.32
Yalova,77,38.04,45.55,81.90,161.20,148.63,137.29,109.04,99.62,94.55,97.08,145.26,187.28,237.28,263.36,258.65,387.97,489.77,499.55
Yozgat,66,24.58,24.33,44.43,121.69,207.51,210.21,217.13,245.05,307.09,290.39,404.92,438.56,366.03,299.22,262.95,250.54,163.92,154.14
Zonguldak,67,25.03,26.29,38.24,109.61,196.54,170.16,140.56,175.91,184.03,203.65,361.63,529.60,557.17,551.76,702.63,518.60,449.59,444.52
