İl Adı,İl Kodu,8-14 Şub 2021,15-21 Şub 2021,20-26 Şub 2021,27 Şub-5 Mar 2021,6-12 Mar 2021,13-19 Mar 2021,20-26 Mar 2021,27 Mar-2 Nis 2021,3-9 Nis 2021,10-16 Nis 2021
Rize,53,202.44,200.08,213.10,208.21,188.18,202.41,250.03,404.81,453.31,516.03
Sakarya,54,76.77,103.01,114.34,139.93,90.15,124.49,181.17,241.98,327.15,404.55
Samsun,55,171.29,202.94,262.17,348.36,458.53,508.97,586.84,678.72,645.17,601.14
Siirt,56,21.37,20.54,16.35,12.08,2.11,14.20,22.65,50.74,73.70,83.97
Sinop,57,79.52,83.62,160.03,314.15,345.56,309.06,354.80,360.34,398.69,440.73
Sivas,58,33.08,38.37,29.85,24.06,43.88,55.83,114.33,164.97,297.54,372.86
Şanlıurfa,63,27.12,20.42,15.40,16.03,15.41,18.30,28.98,40.70,61.84,91.01
Şırnak,73,7.82,3.91,2.29,5.76,4.46,8.18,13.57,23.43,32.17,47.60
Tekirdağ,59,55.37,74.65,85.55,111.19,121.64,168.26,273.06,409.13,619.85,747.13
Tokat,60,118.52,149.20,166.50,228.82,243.53,248.72,273.47,334.86,425.35,467.17
Trabzon,61,228.02,207.54,239.52,226.14,222.32,246.95,278.24,353.49,359.28,409.90
Tunceli,62,38.96,29.96,27.25,26.37,53.93,63.52,86.29,170.18,203.73,266.05
Uşak,64,27.70,17.32,18.40,10.83,19.22,19.49,38.71,84.72,122.08,207.89
Van,65,14.89,13.92,10.13,17.49,20.36,27.41,31.58,42.55,61.69,89.01
Yalova,77,75.17,74.62,85.01,134.76,200.33,275.31,400.65,564.03,690.82,838.25
Yozgat,66,41.07,37.70,42.75,35.55,46.05,92.82,169.17,234.55,350.28,499.89
Zonguldak,67,54.67,54.30,59.11,64.61,75.44,81.02,126.01,205.85,300.74,456.36
